iter	RMSE
0	563.4327713
1	548.5195496
2	535.1434947
3	520.9619877
4	507.5378608
5	494.4247204
6	483.0294211
7	472.2788205
8	460.2918773
9	450.5696312
10	440.3468374
11	431.9953613
12	422.5809184
13	413.7210769
14	406.4662888
15	397.9204546
16	390.5426958
17	383.1899628
18	375.8899622
19	368.8140397
20	362.5310714
21	355.6672114
22	349.4472953
23	345.2923074
24	340.1763028
25	334.3732836
26	329.3583638
27	324.4181511
28	319.7860785
29	314.9145742
30	310.4222653
31	307.2158227
32	303.7016098
33	299.7803897
34	296.1998605
35	292.21327
36	288.5249293
37	284.9670137
38	282.2198619
39	279.6700765
40	277.7556804
41	274.6245365
42	273.5499438
43	272.4303106
44	269.6147605
45	268.3948426
46	266.6997971
47	263.4337746
48	261.8364462
49	259.5353064
50	257.3363954
51	255.872283
52	254.916312
53	252.8402726
54	251.565744
55	250.2489785
56	249.384145
57	246.9992168
58	245.0937792
59	243.8733292
60	241.3948689
61	240.3126913
62	237.4982497
63	236.4149312
64	235.2758959
65	233.0327066
66	231.8980437
67	231.1080863
68	230.1706222
69	227.9437644
70	227.1918625
71	225.2097849
72	222.8579158
73	221.32626
74	219.3532628
75	217.6449025
76	215.7636692
77	213.3408692
78	211.9907848
79	211.3934587
80	210.6622938
81	209.4193668
82	208.659528
83	207.9414914
84	207.2306818
85	206.7191628
86	206.1658351
87	203.6923038
88	203.0799963
89	202.5082555
90	202.0217624
91	200.2551399
92	198.2704288
93	196.5893007
94	195.9951674
95	195.4137846
96	193.3651998
97	192.7916902
98	192.2276075
99	191.5018194
100	190.0573079
101	189.5672124
102	188.0966826
103	187.7390777
104	186.190273
105	185.7199126
106	184.6182085
107	183.9925599
108	183.6638088
109	182.2594892
110	181.7759526
111	181.2913946
112	180.8400191
113	180.3239212
114	179.957323
115	178.8327873
116	178.5027256
117	177.9602894
118	176.1479231
119	175.768269
120	174.9048505
121	174.4806531
122	173.8740395
123	173.487147
124	173.0989425
125	172.7182185
126	172.4263003
127	171.2855376
128	170.9245117
129	170.63658
130	169.1422902
131	168.7516228
132	167.263625
133	166.9080743
134	166.4824502
135	166.2978823
136	165.9954927
137	164.6323905
138	164.4162786
139	164.0768609
140	163.163487
141	162.7866808
142	162.4239735
143	161.8679755
144	161.3777773
145	161.1119619
146	160.703442
147	159.4176869
148	159.1975478
149	158.8661499
