iter	Passed	Remaining
0	55	8298
1	116	8622
2	176	8646
3	230	8426
4	285	8274
5	346	8316
6	396	8098
7	435	7728
8	482	7557
9	543	7610
10	603	7625
11	664	7645
12	727	7665
13	781	7591
14	839	7556
15	879	7362
16	921	7206
17	969	7110
18	1030	7104
19	1091	7096
20	1151	7073
21	1187	6906
22	1220	6738
23	1267	6652
24	1304	6521
25	1352	6451
26	1411	6430
27	1465	6384
28	1505	6279
29	1547	6191
30	1581	6072
31	1613	5951
32	1647	5840
33	1697	5789
34	1737	5709
35	1782	5644
36	1833	5600
37	1871	5514
38	1917	5457
39	1964	5401
40	2016	5361
41	2078	5344
42	2130	5302
43	2163	5211
44	2199	5132
45	2252	5091
46	2309	5061
47	2361	5018
48	2410	4968
49	2460	4920
50	2510	4872
51	2542	4792
52	2608	4773
53	2647	4706
54	2683	4634
55	2737	4594
56	2788	4549
57	2836	4498
58	2886	4452
59	2938	4407
60	2987	4358
61	3024	4292
62	3058	4223
63	3090	4152
64	3129	4092
65	3185	4054
66	3245	4019
67	3291	3969
68	3345	3927
69	3393	3878
70	3448	3836
71	3498	3789
72	3540	3734
73	3591	3688
74	3626	3626
75	3677	3580
76	3730	3536
77	3768	3478
78	3829	3441
79	3886	3400
80	3935	3352
81	3972	3294
82	4005	3233
83	4038	3173
84	4072	3113
85	4105	3055
86	4163	3015
87	4227	2978
88	4283	2935
89	4329	2886
90	4371	2834
91	4424	2789
92	4489	2751
93	4538	2703
94	4581	2652
95	4622	2600
96	4669	2551
97	4711	2499
98	4745	2444
99	4785	2392
100	4830	2343
101	4886	2299
102	4945	2256
103	4998	2211
104	5048	2163
105	5081	2109
106	5113	2055
107	5147	2001
108	5199	1955
109	5242	1906
110	5297	1861
111	5344	1813
112	5399	1768
113	5451	1721
114	5501	1674
115	5559	1629
116	5623	1585
117	5682	1540
118	5742	1495
119	5799	1449
120	5855	1403
121	5912	1356
122	5969	1310
123	6023	1262
124	6080	1216
125	6129	1167
126	6184	1120
127	6242	1072
128	6293	1024
129	6329	973
130	6372	924
131	6414	874
132	6475	827
133	6536	780
134	6600	733
135	6661	685
136	6721	637
137	6784	589
138	6843	541
139	6905	493
140	6959	444
141	7005	394
142	7052	345
143	7107	296
144	7169	247
145	7234	198
146	7296	148
147	7363	99
148	7419	49
149	7480	0
